npi,name,address,city,state,zip,phone,old_lat,old_lon,old_pin_appears_in,action,new_lat,new_lon
1740996586,"ADVANCED SPINE AND PAIN, LLC",400 CRESSON BLVD STE 110,PHOENIXVILLE,PA,19460,888-985-2727,38.890407,-77.128224,DC/MD/VA,no Google match found — enrichment cleared (no pin > wrong pin),,
1033675020,UNION ANESTHESIA GROUP LLC,10611 N HAYDEN RD STE D102,SCOTTSDALE,AZ,85260,602-237-6340,40.688593,-74.270535,NJ/NY/PA,no Google match found — enrichment cleared (no pin > wrong pin),,
1154852820,SLEEP EZZY,892 LEGACY PARK DR,LAWRENCEVILLE,GA,30043,770-962-3642,42.985395,-81.232306,none (possibly outside US),no Google match found — enrichment cleared (no pin > wrong pin),,
1770963274,ELEVATE HEALTH GROUP PLLC,420 W MAIN ST,BOISE,ID,83702,208-426-9200,34.148611,-118.25755,CA,no Google match found — enrichment cleared (no pin > wrong pin),,
1740674050,GUARDIAN HEADACHE AND PAIN MANAGEMENT INSTITUTE LLC,3747 FRANKLIN AVE,LONG BEACH,CA,90808,224-231-4363,40.48323,-88.944656,IL/MO,no Google match found — enrichment cleared (no pin > wrong pin),,
1477146058,LONGEVITY WELLNESS PA,251 ROCHELLE AVE,ROCHELLE PARK,NJ,07662,201-291-1616,38.85946,-77.126417,DC/MD/VA,no Google match found — enrichment cleared (no pin > wrong pin),,
1104130673,PAIN HEALING CENTER PC,749 IRVINGTON AVENUE,MAPLEWOOD,NJ,07040,973-762-6033,27.915875,-82.292028,FL,no Google match found — enrichment cleared (no pin > wrong pin),,
1659304897,GLENN M LIPTON MD PC,294 W STATE ROUTE 89A,COTTONWOOD,AZ,86326,928-649-7999,34.030046,-118.475873,CA,no Google match found — enrichment cleared (no pin > wrong pin),,
1154694552,NORTHWEST PAIN MANAGEMENT PLLC,7225 N MONA LISA RD STE 100A,TUCSON,AZ,85741,520-498-0082,47.799163,-122.325197,WA,no Google match found — enrichment cleared (no pin > wrong pin),,
1447270228,NORTHERN PAIN MGM CTR,125 LIBERTY ST,SPRINGFIELD,MA,01103,413-733-7515,-33.820898,151.18947,none (possibly outside US),no Google match found — enrichment cleared (no pin > wrong pin),,
1457755845,"REGENERATIVE SPINE & JOINT, PLLC",2338 W SLEEPY RANCH RD,PHOENIX,AZ,85085,928-600-6762,40.106382,-83.171062,OH,no Google match found — enrichment cleared (no pin > wrong pin),,
1194193045,"PRECISION SPINE, PLLC",3010 FALCON CREST DR,ALEXANDER,AR,72002,615-389-7852,35.209751,-111.643799,AZ,no Google match found — enrichment cleared (no pin > wrong pin),,
1669461174,ALPINE ANESTHESIA ASSOCIATES,719 TEN MILE DRIVE,FRISCO,CO,80443,970-668-9200,61.18577,-149.821476,AK,no Google match found — enrichment cleared (no pin > wrong pin),,
1134875602,REFLECT HEALTH LLC,7720 S BROADWAY STE 310,LITTLETON,CO,80122,303-584-5844,-38.174755,144.33935,none (possibly outside US),no Google match found — enrichment cleared (no pin > wrong pin),,
1619020385,"PROFESSIONAL ANESTHESIA SERVICES, LLC",240 BEISER BLVD,DOVER,DE,19904,301-734-7105,40.583158,-75.632127,NJ/NY/PA,no Google match found — enrichment cleared (no pin > wrong pin),,
1861697468,"MARK SHOPTAUGH, PLLC",190 HOSPITAL DR,HIGHLANDS,NC,28741,828-526-1200,30.422732,-91.100336,LA/MS,no Google match found — enrichment cleared (no pin > wrong pin),,
1750936084,"DANIEL BURDICK, MD. LLC",226 N KUAKINI ST,HONOLULU,HI,96817,808-531-3511,47.714465,-122.179482,WA,no Google match found — enrichment cleared (no pin > wrong pin),,
1932684982,NORTH SHORE PAIN MANAGEMENT LLC,9000 WAUKEGAN RD STE 12,MORTON GROVE,IL,60053,847-213-5444,42.562608,-70.875449,MA/ME/NH,no Google match found — enrichment cleared (no pin > wrong pin),,
1144013327,"GASSAN CHAIBAN, MD, PLLC",427 W 20TH ST STE 203,HOUSTON,TX,77008,337-602-8686,29.961788,-90.145912,LA/MS,no Google match found — enrichment cleared (no pin > wrong pin),,
1851486781,CAROLINA ANESTHESIOLOGY ASSOCIATES PA,240 STONERIDGE DR,COLUMBIA,SC,29210,803-708-8126,35.958298,-80.013157,NC,no Google match found — enrichment cleared (no pin > wrong pin),,
1033654595,TRI-STATE PHYSICIANS GROUP PC,3011 W GRAND BLVD,DETROIT,MI,48202,313-986-1011,42.450985,-96.413018,IA/NE/SD,no Google match found — enrichment cleared (no pin > wrong pin),,
1194562165,CATHOLIC HEALTH INITIATIVES COLORADO,3943 E PONY EXPRESS PKWY STE 110,EAGLE MOUNTAIN,UT,84005,385-345-3555,38.794687,-104.804078,CO,no Google match found — enrichment cleared (no pin > wrong pin),,
1144516998,DR. ANITA GUPTA,4660 LA JOLLA VILLAGE DR,SAN DIEGO,CA,92122,844-213-7246,41.420034,-73.573647,CT/MA/NJ,no Google match found — enrichment cleared (no pin > wrong pin),,
1538619580,"PAIN CONTROL ASSOCIATES, PC",188 FRIES MILL RD,TURNERSVILLE,NJ,08012,609-890-4080,41.481604,-87.425441,IL/IN/MI,no Google match found — enrichment cleared (no pin > wrong pin),,
1497052716,ANESTHESIOLOGY PAIN ASSOCIATES PLLC,6 LODGE RD,GREAT NECK,NY,11021,516-348-5344,42.20266,-85.619756,MI,no Google match found — enrichment cleared (no pin > wrong pin),,
1447050869,FLAGLER MEDICAL PC,56 LEONARD ST APT 14BW,NEW YORK,NY,10013,954-599-9023,26.72378,-80.078505,FL,no Google match found — enrichment cleared (no pin > wrong pin),,
1407562028,"JOSEPH HADI MD, PLLC",423 AVE N,BROOKLYN,NY,11230,646-330-5455,34.157318,-118.488404,CA,no Google match found — enrichment cleared (no pin > wrong pin),,
1720682321,METROPOLITAN ANESTHESIA PC,"2964 BRIGHTON 6TH ST BROOKLYN, NY 11235-8532.",BROOKLYN,NY,11235,917-365-0866,32.808839,-96.806729,TX,no Google match found — enrichment cleared (no pin > wrong pin),,
1689775280,ORTHOPAEDIC ASSOCIATES LLP,475 IRVING AVE,SYRACUSE,NY,13210,315-426-0190,30.049795,-95.257614,TX,no Google match found — enrichment cleared (no pin > wrong pin),,
1467836395,SHALOM V'SHALVA MEDICAL PC,1347 45TH ST,BROOKLYN,NY,11219,718-807-8777,18.472753,-69.938007,none (possibly outside US),no Google match found — enrichment cleared (no pin > wrong pin),,
1841442258,"PAIN CARE SPECIALISTS, LLC",6024 HOOVER RD,GROVE CITY,OH,43123,614-777-5700,45.346268,-122.653595,OR/WA,no Google match found — enrichment cleared (no pin > wrong pin),,
1205201456,COMPLETE FAMILY CARE LLC,149 NORTH PARK TRAIL,STOCKBRIDGE,GA,30281,404-918-8118,39.265531,-94.915216,KS/MO,no Google match found — enrichment cleared (no pin > wrong pin),,
1295342046,INTEGRATIVE HEALTHCARE SOLUTIONS LLC,2227 E 8TH ST,TULSA,OK,74104,567-208-0581,32.431529,-93.724652,LA/TX,no Google match found — enrichment cleared (no pin > wrong pin),,
1265062202,"RESURGENT HEALTH, LLC",2850 SE POWELL VALLEY RD STE 205A,GRESHAM,OR,97080,503-484-6128,46.826153,-96.880881,MN/ND,no Google match found — enrichment cleared (no pin > wrong pin),,
1295751915,ANESTHESIA ASSOCIATES INC.,575 N RIVER ST,WILKES BARRE,PA,18764,570-829-8111,36.158723,-81.156601,NC/VA,no Google match found — enrichment cleared (no pin > wrong pin),,
1023738598,GLOBAL PAIN CENTER INC,944 MERION SQUARE RD,GLADWYNE,PA,19035,610-453-0362,39.129426,-76.591941,DC/MD/VA,no Google match found — enrichment cleared (no pin > wrong pin),,
1104898329,"LANCASTER ANESTHESIA & ASSOCIATES, PA",123 SOUTH MAIN STREET,LANCASTER,SC,29720,803-286-4287,40.048325,-76.304082,MD/PA,no Google match found — enrichment cleared (no pin > wrong pin),,
1730355298,THREE RIVERS PAIN MANAGEMENT LLC,169 MEDICAL CIR,WEST COLUMBIA,SC,29169,803-454-1661,38.092361,-82.604611,KY/OH/VA,no Google match found — enrichment cleared (no pin > wrong pin),,
1104854124,ANESTHESIA SERVICES ASSOCIATES PLLC,131 SAUNDERSVILLE ROAD,HENDERSONVILLE,TN,37075,615-824-3737,42.606336,-83.447146,MI,no Google match found — enrichment cleared (no pin > wrong pin),,
1447121074,BLOOM BEAUTY & WELLNESS LLC,2201 S 19TH ST STE 206,TACOMA,WA,98405,206-310-8686,42.296381,-85.242269,MI/OH,no Google match found — enrichment cleared (no pin > wrong pin),,
1114249000,MEDS LLC,363 MAIN ST,REDWOOD CITY,CA,94063,650-306-8928,41.873464,-87.956741,IL/IN/MI,no Google match found — enrichment cleared (no pin > wrong pin),,
1609742212,ERIE SPINE & PAIN CENTER PC,4521 ALGONQUIN TRL,GREEN BAY,WI,54313,814-454-4599,42.106836,-80.085597,NY/PA,no Google match found — enrichment cleared (no pin > wrong pin),,
1700747128,"CAPITAL INJURY GROUP, LLC",3375 CAPITAL CIR NE BLDG C100,TALLAHASSEE,FL,32308,850-766-7018,30.323561,-97.69535,TX,no Google match found — enrichment cleared (no pin > wrong pin),,
1245191923,FUEL MEDICAL PLLC,2835 W DE LEON ST STE 203,TAMPA,FL,33609,813-572-3835,45.585137,-122.404287,OR/WA,no Google match found — enrichment cleared (no pin > wrong pin),,
1487941043,PREMIER PAIN & WELLNESS CENTER PLLC,1398 ELDRIDGE PKWY,HOUSTON,TX,77077,409-939-9940,33.653644,-112.257985,AZ,no Google match found — enrichment cleared (no pin > wrong pin),,
1902502156,"M PARTNERS, LLC",5341 ATLANTIC AVE # 306,DELRAY BEACH,FL,33484,561-335-1130,43.646824,-79.383451,NY,no Google match found — enrichment cleared (no pin > wrong pin),,
1407135650,MSK MEDICINE PLLC,813 QUENTIN RD,BROOKLYN,NY,11223,718-998-9890,42.565525,-82.872091,MI,no Google match found — enrichment cleared (no pin > wrong pin),,
