npi,name,city,state,zip,phone,outcome,google_address,new_lat,new_lon
1740996586,"ADVANCED SPINE AND PAIN, LLC",PHOENIXVILLE,PA,19460,888-985-2727,re-matched — coordinates restored,"400 Cresson Blvd Ste 110, Phoenixville, PA 19460, USA",40.1317908,-75.4499034
1033675020,UNION ANESTHESIA GROUP LLC,SCOTTSDALE,AZ,85260,602-237-6340,re-matched — coordinates restored,"8406 E Shea Blvd #100, Scottsdale, AZ 85260, USA",33.5828317,-111.8990267
1154852820,SLEEP EZZY,LAWRENCEVILLE,GA,30043,770-962-3642,re-matched — coordinates restored,"900 Legacy Park Dr, Lawrenceville, GA 30043, USA",33.9643803,-84.026693
1770963274,ELEVATE HEALTH GROUP PLLC,BOISE,ID,83702,208-426-9200,re-matched — coordinates restored,"1430 W Ustick Rd Ste 100, Meridian, ID 83646, USA",43.6343269,-116.41176539999998
1740674050,GUARDIAN HEADACHE AND PAIN MANAGEMENT INSTITUTE LLC,LONG BEACH,CA,90808,224-231-4363,re-matched — coordinates restored,"436 N Roxbury Dr Ste 101, Beverly Hills, CA 90210, USA",34.068027,-118.406438
1477146058,LONGEVITY WELLNESS PA,ROCHELLE PARK,NJ,07662,201-291-1616,re-matched — coordinates restored,"50 Madison Ave, Rochelle Park, NJ 07662, USA",40.8966687,-74.0765397
1104130673,PAIN HEALING CENTER PC,MAPLEWOOD,NJ,07040,973-762-6033,re-matched — coordinates restored,"2040 Millburn Ave Ste 104, Maplewood, NJ 07040, USA",40.7200085,-74.2771229
1659304897,GLENN M LIPTON MD PC,COTTONWOOD,AZ,86326,928-649-7999,re-matched — coordinates restored,"55 S 6th St, Cottonwood, AZ 86326, USA",34.7388665,-112.02232869999999
1154694552,NORTHWEST PAIN MANAGEMENT PLLC,TUCSON,AZ,85741,520-498-0082,re-matched — coordinates restored,"2275 W Magee Rd Ste 111, Tucson, AZ 85742, USA",32.3466814,-111.0164655
1447270228,NORTHERN PAIN MGM CTR,SPRINGFIELD,MA,01103,413-733-7515,re-matched — coordinates restored,"3400 Main St, Springfield, MA 01107, USA",42.124443299999996,-72.6104301
1457755845,"REGENERATIVE SPINE & JOINT, PLLC",PHOENIX,AZ,85085,928-600-6762,re-matched — coordinates restored,"16620 N 40th St G2, Phoenix, AZ 85032, USA",33.63739530000001,-111.9978425
